survived,age,gender,joined,nationality,class,title,spouse,sibling,parent,children
0,41,Male,Southampton,American,3rd,Mr,0,0,0,0
0,NA,Male,Southampton,English,crew,Mr,0,0,0,0
0,13,Male,Southampton,American,3rd,Mr,0,1,1,0
0,16,Male,Southampton,Other,3rd,Mr,0,1,1,0
1,39,Female,Southampton,English,3rd,Mrs,0,0,0,2
1,16,Female,Southampton,Other,3rd,Miss,0,0,0,0
1,25,Male,Southampton,Other,3rd,Mr,0,0,0,0
0,NA,Male,Cherbourg,Other,2nd,Mr,0,0,0,0
1,28,Female,Cherbourg,Other,2nd,Mrs,0,0,0,0
1,NA,Male,Southampton,Finnish,3rd,Mr,0,0,0,0
0,NA,Male,Southampton,English,crew,Mr,0,0,0,0
0,NA,Male,Cherbourg,Syrian,3rd,Mr,0,0,0,0
1,38,Female,Cherbourg,Syrian,3rd,Mrs,0,0,0,0
0,NA,Male,Cherbourg,Syrian,3rd,Mr,0,0,0,0
1,27,Male,Cherbourg,Syrian,3rd,Mr,0,0,0,0
0,NA,Male,Southampton,English,3rd,Mr,0,0,0,0
0,26,Male,Southampton,English,crew,Mr,0,0,0,0
0,20,Male,Southampton,Other,crew,Mr,0,0,0,0
0,40,Female,Southampton,Swedish,3rd,Mrs,0,0,0,0
0,NA,Male,Southampton,Syrian,3rd,Mr,0,0,0,0
0,31,Male,Southampton,English,crew,Mr,0,1,0,0
0,37,Male,Southampton,English,crew,Mr,0,1,0,0
1,0.8,Male,Southampton,English,3rd,other,0,0,0,0
1,21,Female,Southampton,Other,3rd,Mrs,0,0,0,0
1,2,Female,Cherbourg,Syrian,3rd,Miss,0,0,0,0
1,5,Female,Cherbourg,Syrian,3rd,Miss,0,0,0,0
1,NA,Female,Cherbourg,Syrian,3rd,Miss,0,0,0,0
1,23,Female,Cherbourg,Syrian,3rd,Mrs,0,0,0,0
0,NA,Male,Cherbourg,Syrian,3rd,Mr,0,0,0,0
1,25,Male,Cherbourg,Other,3rd,Mr,0,0,0,0
0,NA,Male,Southampton,English,2nd,Mr,0,0,0,0
0,24,Male,Southampton,English,3rd,Mr,0,0,0,0
0,19,Male,Southampton,Finnish,3rd,Mr,0,0,0,0
0,NA,Male,Southampton,Syrian,3rd,Mr,0,0,0,0
0,22,Male,Southampton,Other,crew,other,0,0,0,0
1,29,Female,Southampton,American,1st,Miss,0,0,0,0
1,24,Male,Southampton,English,crew,Mr,0,0,0,0
0,NA,Male,Southampton,English,crew,Mr,0,0,0,0
0,NA,Male,Southampton,English,crew,Mr,0,0,0,0
0,NA,Male,Southampton,English,crew,Mr,0,0,0,0
0,NA,Male,Southampton,English,3rd,Mr,0,0,0,0
1,0.8,Male,Southampton,Other,1st,other,0,1,2,0
0,2,Female,Southampton,Other,1st,Miss,0,1,2,0
0,30,Male,Southampton,Other,1st,Mr,1,0,0,2
0,25,Female,Southampton,Other,1st,Mrs,1,0,0,2
0,NA,Male,Belfast,English,crew,Mr,0,0,0,0
0,NA,Male,Belfast,English,crew,Mr,0,0,0,0
0,17,Male,Southampton,English,3rd,Mr,0,0,0,0
0,33,Male,Southampton,Other,3rd,Mr,0,0,0,0
1,19,Female,Southampton,Other,3rd,Miss,0,1,0,0
1,42,Male,Southampton,American,1st,Mr,0,0,0,0
1,NA,Male,Southampton,English,crew,Mr,0,0,0,0
0,50,Male,Southampton,Other,crew,Mr,0,0,0,0
0,4,Male,Southampton,Swedish,3rd,other,0,0,0,0
0,6,Female,Southampton,Swedish,3rd,Miss,0,0,0,0
0,2,Female,Southampton,Swedish,3rd,Miss,0,0,0,0
1,16,Female,Southampton,Finnish,3rd,Miss,0,0,0,0
0,38,Female,Southampton,Swedish,3rd,Miss,0,0,0,0
0,9,Female,Southampton,Swedish,3rd,Miss,0,0,0,0
0,11,Female,Southampton,Swedish,3rd,Miss,0,0,0,0
0,39,Male,Southampton,Swedish,3rd,Mr,0,0,0,0
0,26,Male,Southampton,Swedish,3rd,Mr,0,0,0,0
0,39,Female,Southampton,Swedish,3rd,Mrs,0,1,0,0
0,20,Male,Southampton,Swedish,3rd,Mr,0,0,0,0
0,17,Male,Southampton,Other,2nd,Mr,0,0,0,0
0,NA,Male,Southampton,English,2nd,Mr,0,0,0,0
1,62,Female,Cherbourg,American,1st,Miss,0,0,0,0
1,19,Male,Southampton,English,crew,Mr,0,0,0,0
0,39,Male,Belfast,Irish,crew,Mr,0,0,0,0
0,NA,Male,Southampton,English,2nd,Mr,0,0,0,0
1,36,Female,Southampton,English,2nd,Mrs,0,0,0,0
1,53,Female,Southampton,American,1st,Mrs,0,2,0,0
1,35,Male,Southampton,English,crew,Mr,0,0,0,0
0,25,Male,Southampton,Other,3rd,Mr,1,0,0,0
0,18,Female,Southampton,Other,3rd,Mrs,1,0,0,0
0,25,Male,Southampton,Swedish,3rd,Mr,0,0,0,0
0,71,Male,Cherbourg,Other,1st,Mr,0,0,0,0
0,57,Male,Southampton,English,2nd,Mr,0,0,0,0
0,26,Male,Southampton,English,crew,Mr,0,0,0,0
0,41,Male,Southampton,Irish,crew,Mr,0,0,0,0
0,NA,Male,Southampton,Syrian,3rd,Mr,0,0,0,0
0,26,Male,Southampton,Other,crew,Mr,0,0,0,0
0,5,Male,Southampton,Other,3rd,other,0,0,0,0
0,9,Male,Southampton,Swedish,3rd,other,0,0,0,0
1,3,Male,Southampton,Other,3rd,other,0,0,0,0
0,13,Male,Southampton,Swedish,3rd,other,0,0,0,0
1,5,Female,Southampton,American,3rd,Miss,0,0,0,0
0,40,Male,Southampton,Other,3rd,Mr,0,0,0,0
1,23,Male,Southampton,Swedish,3rd,Mr,0,0,0,0
1,38,Female,Southampton,Swedish,3rd,Mrs,0,0,0,0
0,NA,Male,Southampton,Syrian,3rd,Mr,0,0,0,0
0,47,Male,Cherbourg,American,1st,other,1,0,0,0
1,18,Female,Cherbourg,American,1st,Mrs,1,0,0,0
0,NA,Male,Cherbourg,Syrian,3rd,Mr,0,0,0,0
0,NA,Female,Cherbourg,Syrian,3rd,Miss,0,0,0,0
1,24,Female,Cherbourg,Other,1st,other,0,0,0,0
0,23,Male,Southampton,Swedish,3rd,Mr,0,0,0,0
1,20,Male,Southampton,English,crew,Mr,0,0,0,0
0,NA,Male,Southampton,English,crew,Mr,0,0,0,0
1,NA,Female,Cherbourg,Syrian,3rd,Miss,0,0,0,0
0,NA,Male,Belfast,English,crew,Mr,0,0,0,0
0,32,Male,Southampton,Finnish,3rd,Mr,0,0,0,0
1,33,Female,Southampton,Finnish,3rd,Mrs,0,0,0,0
1,18,Female,Southampton,English,3rd,Miss,0,0,0,0
0,NA,Male,Cherbourg,Syrian,3rd,Mr,0,0,0,0
1,28,Male,Southampton,English,crew,Mr,0,0,0,0
0,33,Male,Southampton,English,crew,Mr,0,0,0,0
0,NA,Male,Belfast,English,crew,Mr,0,0,0,0
0,46,Male,Southampton,Other,crew,Mr,0,0,0,0
1,46,Male,Southampton,English,crew,Mr,0,0,0,0
0,NA,Male,Southampton,English,2nd,Mr,0,0,0,0
0,22,Male,Southampton,Other,2nd,Mr,0,0,0,0
0,NA,Male,Southampton,Irish,crew,Mr,0,0,0,0
0,NA,Male,Southampton,Other,3rd,Mr,0,0,0,0
1,18,Male,Southampton,English,crew,Mr,0,0,0,0
1,36,Female,Southampton,English,2nd,Mrs,0,0,0,0
0,NA,Male,Southampton,Other,2nd,Mr,0,0,0,0
0,24,Male,Southampton,Other,crew,Mr,0,0,0,0
0,28,Male,Southampton,English,2nd,Mr,0,0,0,0
0,34,Male,Southampton,English,crew,Mr,0,0,0,0
0,NA,Female,Cherbourg,Syrian,3rd,Miss,0,0,0,0
0,NA,Female,Cherbourg,Syrian,3rd,Mrs,0,0,0,0
1,26,Female,Southampton,English,1st,Miss,0,0,0,0
0,NA,Male,Southampton,English,crew,Mr,0,0,0,0
0,40,Male,Southampton,English,crew,Mr,0,0,0,0
0,NA,Male,Belfast,English,crew,Mr,0,0,0,0
1,47,Male,Southampton,English,1st,Mr,0,0,0,0
0,NA,Male,Southampton,English,crew,Mr,0,0,0,0
0,NA,Male,Southampton,English,crew,Mr,0,0,0,0
0,NA,Male,Southampton,English,crew,Mr,0,0,0,0
0,NA,Male,Southampton,English,crew,Mr,0,0,0,0
0,NA,Male,Southampton,English,crew,Mr,0,0,0,0
0,NA,Male,Southampton,English,crew,Mr,0,0,0,0
1,NA,Male,Southampton,English,crew,Mr,0,0,0,0
0,33,Male,Southampton,English,crew,Mr,0,0,0,0
0,NA,Male,Belfast,English,crew,Mr,0,0,0,0
0,NA,Male,Southampton,English,crew,Mr,0,0,0,0
0,32,Male,Southampton,English,crew,Mr,0,0,0,0
0,30,Female,Queenstown,Other,3rd,Miss,0,0,0,0
0,22,Male,Southampton,English,3rd,Mr,0,0,0,0
0,NA,Male,Southampton,English,crew,Mr,0,0,0,0
0,27,Male,Southampton,Other,crew,other,0,0,0,0
1,31,Female,Cherbourg,Other,1st,Mrs,0,0,0,0
0,52,Male,Southampton,English,2nd,other,0,0,0,0
0,NA,Male,Southampton,Other,3rd,Mr,0,0,0,0
0,48,Male,Cherbourg,American,1st,Mr,0,0,0,0
0,53,Male,Southampton,English,crew,Mr,0,0,0,0
0,24,Male,Cherbourg,Other,1st,Mr,0,0,0,0
0,55,Male,Southampton,Other,crew,Mr,0,0,0,0
1,50,Female,Cherbourg,Other,1st,Mrs,0,0,0,0
0,33,Male,Southampton,Other,crew,other,0,0,0,0
0,NA,Male,Cherbourg,Syrian,3rd,Mr,0,0,0,0
1,32,Male,Southampton,English,2nd,Mr,1,0,0,0
1,22,Female,Southampton,English,2nd,Mrs,1,0,0,0
0,40,Male,Belfast,Irish,crew,Mr,0,0,0,0
0,36,Male,Southampton,Other,1st,Mr,0,0,0,0
1,24,Male,Southampton,English,crew,Mr,0,0,0,0
0,43,Male,Southampton,English,2nd,Mr,0,0,0,0
0,NA,Male,Southampton,English,3rd,Mr,0,0,0,0
1,1,Male,Southampton,American,2nd,other,0,2,1,0
1,4,Female,Southampton,American,2nd,Miss,0,2,1,0
1,12,Female,Southampton,American,2nd,Miss,0,2,1,0
1,35,Female,Southampton,American,2nd,Mrs,0,0,0,3
1,37,Male,Southampton,American,1st,Mr,1,0,0,0
1,46,Female,Southampton,American,1st,Mrs,1,0,0,1
0,31,Male,Southampton,English,crew,Mr,0,0,0,0
0,NA,Male,Southampton,English,crew,Mr,0,0,0,0
0,NA,Male,Southampton,English,crew,Mr,0,0,0,0
1,34,Male,Southampton,English,2nd,Mr,0,0,0,0
1,26,Male,Cherbourg,American,1st,Mr,0,0,0,0
0,51,Male,Belfast,English,crew,Mr,0,0,0,0
0,23,Male,Southampton,English,crew,Mr,0,0,0,0
0,26,Male,Southampton,Swedish,3rd,Mr,0,0,0,0
0,NA,Male,Southampton,English,crew,Mr,0,0,0,0
0,30,Male,Southampton,English,crew,Mr,0,0,0,0
1,33,Female,Southampton,English,crew,Mrs,0,0,0,0
1,19,Female,Southampton,American,2nd,Miss,0,0,0,0
0,47,Male,Southampton,English,crew,Mr,0,0,0,0
0,22,Male,Southampton,Finnish,3rd,Mr,0,0,0,0
0,NA,Male,Southampton,Other,crew,other,0,0,0,0
0,NA,Male,Southampton,English,2nd,Mr,0,0,0,0
0,31,Male,Southampton,English,crew,Mr,0,0,0,0
0,40,Male,Southampton,English,crew,Mr,0,0,0,0
1,39,Female,Cherbourg,American,1st,Miss,0,0,0,0
0,NA,Male,Belfast,English,crew,Mr,0,0,0,0
0,NA,Male,Southampton,Other,crew,Mr,0,0,0,0
0,NA,Male,Southampton,English,crew,Mr,0,0,0,0
0,31,Male,Southampton,English,crew,Mr,0,0,0,0
1,46,Female,Cherbourg,Other,1st,Miss,0,0,0,0
0,20,Male,Southampton,English,crew,Mr,0,0,0,0
0,NA,Male,Southampton,English,crew,Mr,0,0,0,0
1,NA,Male,Southampton,Other,3rd,Mr,0,0,0,0
1,20,Male,Southampton,English,crew,Mr,0,0,0,0
1,31,Female,Southampton,English,1st,Miss,0,0,0,0
0,21,Male,Southampton,Other,3rd,Mr,0,0,0,0
0,24,Male,Cherbourg,Other,1st,Mr,0,0,0,0
1,25,Male,Cherbourg,American,1st,Mr,0,0,0,0
0,NA,Male,Belfast,English,crew,Mr,0,0,0,0
1,19,Female,Cherbourg,American,1st,Mrs,0,0,0,0
0,28,Male,Southampton,Other,crew,Mr,0,0,0,0
0,18,Male,Southampton,Swedish,3rd,Mr,0,0,0,0
1,28,Male,Southampton,Swedish,1st,Mr,0,0,0,0
0,NA,Male,Southampton,English,crew,Mr,0,0,0,0
0,NA,Male,Southampton,Other,crew,Mr,0,0,0,0
0,NA,Male,Southampton,English,crew,Mr,0,0,0,0
0,45,Male,Southampton,American,1st,Mr,0,0,0,0
0,NA,Male,Southampton,English,crew,Mr,0,0,0,0
0,NA,Male,Belfast,English,crew,Mr,0,0,0,0
1,22,Male,Southampton,English,crew,Mr,0,0,0,0
0,NA,Male,Southampton,English,crew,Mr,0,0,0,0
0,32,Male,Southampton,Irish,crew,Mr,0,0,0,0
1,39,Male,Cherbourg,American,1st,Mr,0,0,0,0
0,21,Male,Southampton,English,crew,Mr,0,0,0,0
1,45,Female,Southampton,Other,crew,Mrs,0,0,0,0
0,26,Male,Southampton,Other,crew,Mr,0,0,0,0
0,30,Male,Southampton,Other,crew,Mr,0,0,0,0
0,43,Male,Southampton,Other,crew,Mr,0,0,0,0
0,NA,Male,Southampton,Other,crew,Mr,0,0,0,0
0,27,Male,Southampton,Other,crew,Mr,0,0,0,0
0,NA,Male,Belfast,English,crew,Mr,0,0,0,0
1,30,Female,Southampton,American,1st,Miss,0,0,0,0
1,61,Female,Southampton,English,1st,Miss,0,0,0,0
0,37,Male,Southampton,English,crew,Mr,0,0,0,0
0,41,Male,Southampton,Other,1st,Mr,0,0,0,0
0,NA,Male,Southampton,Other,3rd,Mr,0,0,0,0
0,NA,Male,Belfast,English,crew,Mr,0,0,0,0
0,25,Male,Southampton,American,2nd,Mr,0,0,0,0
0,46,Male,Southampton,English,crew,Mr,0,0,0,0
0,24,Male,Southampton,English,crew,Mr,0,0,0,0
0,NA,Male,Cherbourg,Syrian,3rd,Mr,0,0,0,0
0,40,Female,Queenstown,Irish,3rd,Miss,0,0,0,0
0,42,Male,Queenstown,Irish,3rd,Mr,0,0,0,0
0,32,Female,Queenstown,Irish,3rd,Mrs,0,0,0,0
1,45,Female,Cherbourg,American,1st,Miss,0,0,0,0
0,NA,Male,Southampton,Other,3rd,Mr,0,0,0,0
1,22,Female,Southampton,English,1st,Miss,0,0,0,0
1,31,Female,Southampton,English,crew,Miss,0,0,0,0
1,28,Male,Belfast,English,crew,Mr,0,0,0,0
0,NA,Male,Southampton,English,crew,Mr,0,0,0,0
0,36,Male,Belfast,English,crew,Mr,0,0,0,0
0,30,Male,Southampton,American,2nd,Mr,0,0,0,0
1,22,Female,Queenstown,Irish,3rd,Miss,0,0,0,0
0,38,Male,Southampton,Other,crew,Mr,0,0,0,0
0,NA,Male,Southampton,English,crew,Mr,0,0,0,0
0,42,Male,Southampton,English,crew,Mr,0,0,0,0
0,41,Male,Southampton,American,1st,Mr,0,0,0,0
0,20,Female,Southampton,Swedish,3rd,Miss,0,0,0,0
0,24,Male,Southampton,English,crew,Mr,0,0,0,0
0,48,Male,Cherbourg,American,1st,Mr,0,0,0,0
0,NA,Male,Southampton,English,3rd,Mr,0,1,0,0
0,22,Male,Southampton,English,3rd,Mr,0,1,0,0
1,37,Male,Southampton,American,1st,Mr,0,0,0,0
0,45,Male,Cherbourg,Irish,1st,other,0,0,0,0
0,NA,Male,Southampton,English,crew,Mr,0,0,0,0
0,52,Male,Belfast,English,crew,Mr,0,0,0,0
0,34,Male,Southampton,English,crew,Mr,0,1,0,0
0,NA,Male,Southampton,English,crew,Mr,0,1,0,0
1,42,Male,Southampton,English,crew,Mr,0,0,0,0
0,20,Male,Southampton,Other,crew,Mr,0,0,0,0
1,22,Male,Belfast,English,crew,Mr,0,0,0,0
1,42,Male,Belfast,English,crew,Mr,0,0,0,0
0,38,Male,Southampton,English,crew,Mr,0,0,0,0
0,NA,Male,Southampton,Irish,crew,Mr,0,0,0,0
0,NA,Male,Southampton,Other,2nd,Mr,0,0,0,0
0,22,Male,Southampton,Swedish,3rd,Mr,0,0,0,0
0,NA,Male,Southampton,English,3rd,Mr,0,0,0,0
0,28,Male,Southampton,English,crew,Mr,0,0,0,0
0,NA,Male,Southampton,English,crew,Mr,0,0,0,0
0,33,Male,Belfast,English,crew,Mr,0,0,0,0
0,NA,Male,Southampton,English,crew,Mr,0,0,0,0
1,18,Female,Southampton,English,2nd,Miss,0,0,0,0
1,15,Female,Southampton,Other,2nd,Miss,0,0,0,0
1,34,Male,Belfast,Other,crew,Mr,0,0,0,0
0,NA,Male,Southampton,Other,crew,Mr,0,0,0,0
0,NA,Male,Southampton,English,crew,Mr,0,0,0,0
0,60,Male,Southampton,Other,2nd,Mr,0,0,0,0
0,NA,Male,Belfast,English,crew,Mr,0,0,0,0
1,59,Female,Southampton,American,1st,Mrs,0,2,0,0
1,NA,Female,Southampton,Other,2nd,Mrs,0,0,0,0
1,44,Female,Cherbourg,American,1st,Mrs,0,0,0,0
1,20,Female,Southampton,Swedish,2nd,Miss,0,0,0,0
0,25,Male,Southampton,Swedish,2nd,Mr,0,0,0,0
0,23,Female,Queenstown,Irish,3rd,Miss,0,0,0,0
1,21,Male,Queenstown,Irish,3rd,Mr,0,0,0,0
0,NA,Male,Southampton,English,crew,Mr,0,0,0,0
1,58,Female,Cherbourg,American,1st,Mrs,0,0,0,0
1,26,Male,Southampton,English,crew,Mr,0,0,0,0
0,NA,Male,Southampton,English,crew,Mr,0,0,0,0
0,21,Male,Southampton,English,crew,Mr,0,0,0,0
0,20,Male,Belfast,English,crew,Mr,0,0,0,0
1,18,Male,Southampton,English,crew,Mr,0,0,0,0
0,19,Male,Queenstown,Irish,3rd,Mr,0,0,0,0
0,29,Male,Belfast,English,crew,Mr,0,0,0,0
1,NA,Male,Belfast,Irish,crew,Mr,0,0,0,0
1,41,Female,Cherbourg,American,1st,Miss,0,0,0,0
0,15,Female,Queenstown,Irish,3rd,Miss,0,0,0,0
0,NA,Male,Southampton,English,crew,Mr,0,0,0,0
1,20,Male,Southampton,English,crew,Mr,0,0,0,0
0,34,Male,Southampton,English,crew,Mr,0,0,0,0
0,35,Male,Southampton,English,crew,Mr,0,0,0,0
1,36,Female,Southampton,English,2nd,Miss,0,0,0,0
0,NA,Male,Southampton,English,2nd,Mr,0,0,0,0
0,NA,Male,Cherbourg,Syrian,3rd,Mr,0,0,0,0
0,46,Male,Southampton,American,1st,other,0,0,0,0
0,21,Male,Southampton,English,crew,Mr,0,1,0,0
0,30,Male,Southampton,English,crew,Mr,0,1,0,0
0,NA,Male,Southampton,English,crew,Mr,0,0,0,0
0,42,Male,Southampton,English,2nd,other,0,0,0,0
0,44,Male,Southampton,English,crew,Mr,0,0,0,0
1,39,Female,Southampton,Swedish,2nd,Mrs,0,0,0,0
0,NA,Male,Cherbourg,Syrian,3rd,other,0,0,0,0
0,NA,Female,Cherbourg,Syrian,3rd,Miss,0,0,0,0
0,NA,Female,Cherbourg,Syrian,3rd,Mrs,0,0,0,0
0,28,Male,Southampton,Other,1st,Mr,0,0,0,0
1,42,Male,Southampton,American,1st,Mr,0,0,0,0
0,NA,Male,Belfast,Irish,crew,Mr,0,0,0,0
1,0.8,Male,Southampton,Other,2nd,other,0,0,2,0
1,26,Male,Southampton,American,2nd,Mr,1,0,0,1
1,28,Female,Southampton,American,2nd,Mrs,1,0,0,1
1,35,Female,Southampton,English,2nd,Miss,0,0,0,0
0,NA,Male,Southampton,Other,crew,Mr,0,0,0,0
0,20,Male,Belfast,Irish,crew,Mr,0,0,0,0
0,22,Female,Queenstown,Irish,3rd,Miss,0,0,0,0
0,21,Male,Queenstown,Irish,3rd,Mr,0,0,0,0
1,52,Female,Cherbourg,American,1st,Mrs,0,0,0,0
0,NA,Male,Southampton,English,3rd,Mr,0,0,0,0
0,40,Male,Southampton,English,crew,Mr,0,0,0,0
0,NA,Male,Cherbourg,Syrian,3rd,Mr,0,0,0,0
0,NA,Female,Cherbourg,Syrian,3rd,Mrs,0,0,0,0
0,NA,Male,Southampton,English,2nd,Mr,0,0,0,0
1,36,Male,Cherbourg,American,1st,Mr,0,0,1,0
1,58,Female,Cherbourg,American,1st,Mrs,0,0,0,1
0,28,Male,Southampton,Swedish,3rd,Mr,0,0,0,0
0,24,Male,Southampton,Other,3rd,Mr,0,0,0,0
0,33,Male,Southampton,Swedish,1st,Mr,0,0,0,0
0,NA,Male,Southampton,Other,crew,Mr,0,0,0,0
0,45,Female,Queenstown,Irish,3rd,Miss,0,0,0,0
0,27,Male,Southampton,English,crew,Mr,0,0,0,0
0,27,Male,Southampton,Other,1st,Mr,0,0,0,0
0,17,Male,Southampton,Other,1st,Mr,0,0,0,0
1,11,Male,Southampton,American,1st,other,0,1,1,0
1,14,Female,Southampton,American,1st,Miss,0,1,1,0
0,NA,Male,Southampton,English,crew,Mr,0,0,0,0
1,36,Male,Southampton,American,1st,Mr,1,0,0,2
0,45,Female,Southampton,English,2nd,Mrs,0,0,0,0
1,36,Female,Southampton,American,1st,Mrs,1,0,0,2
0,54,Male,Southampton,English,2nd,other,0,0,0,0
0,NA,Male,Belfast,English,crew,Mr,0,0,0,0
0,NA,Male,Southampton,English,3rd,Mr,0,0,0,0
0,NA,Male,Southampton,Other,crew,other,0,0,0,0
0,NA,Male,Southampton,American,1st,Mr,0,0,0,0
0,44,Male,Southampton,English,crew,Mr,0,0,0,0
1,36,Female,Cherbourg,American,1st,Mrs,0,0,0,0
0,34,Male,Southampton,English,crew,Mr,0,0,0,0
0,NA,Male,Southampton,English,crew,Mr,0,0,0,0
1,33,Female,Southampton,English,crew,Miss,0,0,0,0
0,NA,Male,Southampton,English,crew,Mr,0,0,0,0
0,NA,Male,Belfast,English,crew,Mr,0,0,0,0
1,22,Male,Southampton,English,crew,Mr,0,0,0,0
0,36,Male,Southampton,English,1st,Mr,0,0,0,0
1,25,Female,Southampton,American,1st,Mrs,0,0,0,0
0,21,Male,Southampton,English,crew,Mr,0,0,0,0
0,NA,Male,Southampton,Other,3rd,Mr,0,0,0,0
0,25,Male,Southampton,Other,crew,Mr,0,0,0,0
